模型名称,BFI_总体偏差,行为_总体偏差,行为比BFI多偏离,BFI_高特质总体偏差,BFI_低特质总体偏差,行为_高特质总体偏差,行为_低特质总体偏差,BFI_外向性_高特质均值,BFI_外向性_高特质标准差,BFI_外向性_高特质偏差,BFI_外向性_低特质均值,BFI_外向性_低特质标准差,BFI_外向性_低特质偏差,BFI_外向性_差值,行为_外向性_高特质均值,行为_外向性_高特质标准差,行为_外向性_高特质偏差,行为_外向性_低特质均值,行为_外向性_低特质标准差,行为_外向性_低特质偏差,行为_外向性_差值,BFI_宜人性_高特质均值,BFI_宜人性_高特质标准差,BFI_宜人性_高特质偏差,BFI_宜人性_低特质均值,BFI_宜人性_低特质标准差,BFI_宜人性_低特质偏差,BFI_宜人性_差值,行为_宜人性_高特质均值,行为_宜人性_高特质标准差,行为_宜人性_高特质偏差,行为_宜人性_低特质均值,行为_宜人性_低特质标准差,行为_宜人性_低特质偏差,行为_宜人性_差值,BFI_尽责性_高特质均值,BFI_尽责性_高特质标准差,BFI_尽责性_高特质偏差,BFI_尽责性_低特质均值,BFI_尽责性_低特质标准差,BFI_尽责性_低特质偏差,BFI_尽责性_差值,行为_尽责性_高特质均值,行为_尽责性_高特质标准差,行为_尽责性_高特质偏差,行为_尽责性_低特质均值,行为_尽责性_低特质标准差,行为_尽责性_低特质偏差,行为_尽责性_差值,BFI_神经质_高特质均值,BFI_神经质_高特质标准差,BFI_神经质_高特质偏差,BFI_神经质_低特质均值,BFI_神经质_低特质标准差,BFI_神经质_低特质偏差,BFI_神经质_差值,行为_神经质_高特质均值,行为_神经质_高特质标准差,行为_神经质_高特质偏差,行为_神经质_低特质均值,行为_神经质_低特质标准差,行为_神经质_低特质偏差,行为_神经质_差值,BFI_开放性_高特质均值,BFI_开放性_高特质标准差,BFI_开放性_高特质偏差,BFI_开放性_低特质均值,BFI_开放性_低特质标准差,BFI_开放性_低特质偏差,BFI_开放性_差值,行为_开放性_高特质均值,行为_开放性_高特质标准差,行为_开放性_高特质偏差,行为_开放性_低特质均值,行为_开放性_低特质标准差,行为_开放性_低特质偏差,行为_开放性_差值
claude-opus-4-7,0.255,0.404,0.149,0.182,0.328,0.514,0.294,4.03,0.046,0.03,1.58,0.0,-0.42,2.45,3.0,0.173,-1.0,1.84,0.502,-0.16,1.16,4.08,0.0,0.08,2.0,0.0,0.0,2.08,4.15,0.086,0.15,2.76,0.352,0.76,1.39,4.33,0.0,0.33,1.75,0.0,-0.25,2.58,4.11,0.269,0.11,2.1,0.067,0.1,2.01,4.0,0.0,0.0,1.08,0.0,-0.92,2.92,3.11,0.985,-0.89,2.04,0.706,0.04,1.07,4.47,0.046,0.47,1.95,0.046,-0.05,2.53,4.42,0.272,0.42,2.41,0.296,0.41,2.01
claude-sonnet-4-6,0.313,0.537,0.224,0.46,0.166,0.73,0.344,3.75,0.0,-0.25,1.92,0.0,-0.08,1.83,3.26,1.077,-0.74,1.84,0.502,-0.16,1.42,4.05,0.046,0.05,2.0,0.0,0.0,2.05,4.15,0.086,0.15,2.76,0.352,0.76,1.39,4.0,0.0,0.0,1.92,0.0,-0.08,2.08,3.0,0.34,-1.0,1.99,0.219,-0.01,1.01,2.5,0.0,-1.5,1.33,0.0,-0.67,1.17,2.56,0.618,-1.44,2.14,0.632,0.14,0.43,3.5,0.0,-0.5,2.0,0.0,0.0,1.5,4.32,0.134,0.32,2.65,0.636,0.65,1.67
deepseek-r1,0.062,0.502,0.44,0.078,0.046,0.682,0.322,4.03,0.046,0.03,2.0,0.0,0.0,2.03,2.34,0.817,-1.66,1.69,0.283,-0.31,0.65,4.08,0.0,0.08,1.97,0.046,-0.03,2.11,4.08,0.553,0.08,2.76,0.352,0.76,1.33,4.17,0.085,0.17,2.0,0.0,0.0,2.17,3.57,0.336,-0.43,1.99,0.219,-0.01,1.58,4.08,0.0,0.08,1.83,0.085,-0.17,2.25,2.92,0.802,-1.08,1.88,0.456,-0.12,1.04,4.03,0.254,0.03,1.97,0.046,-0.03,2.05,3.84,0.572,-0.16,2.41,0.296,0.41,1.43
deepseek-v3.1-250821,0.581,0.551,-0.03,0.81,0.352,0.5,0.602,3.22,0.092,-0.78,2.89,0.052,0.89,0.33,3.33,0.113,-0.67,1.61,0.171,-0.39,1.72,3.5,0.144,-0.5,1.97,0.128,-0.03,1.53,3.36,1.205,-0.64,2.76,0.352,0.76,0.6,3.06,0.098,-0.94,2.06,0.098,0.06,1.0,3.53,1.087,-0.47,1.99,0.219,-0.01,1.54,3.0,0.0,-1.0,1.64,0.128,-0.36,1.36,3.47,1.006,-0.53,3.26,1.351,1.26,0.2,3.17,0.0,-0.83,2.42,0.0,0.42,0.75,4.19,0.591,0.19,2.59,0.046,0.59,1.61
deepseek-v3.2,0.585,0.643,0.058,0.826,0.344,0.642,0.644,3.17,0.0,-0.83,2.86,0.052,0.86,0.31,2.75,0.269,-1.25,1.69,0.283,-0.31,1.06,3.39,0.098,-0.61,1.78,0.046,-0.22,1.61,3.36,1.205,-0.64,2.76,0.352,0.76,0.6,3.06,0.098,-0.94,2.0,0.0,0.0,1.06,3.4,0.914,-0.6,1.99,0.219,-0.01,1.42,3.08,0.144,-0.92,1.78,0.046,-0.22,1.31,3.47,1.006,-0.53,3.2,1.322,1.2,0.27,3.17,0.0,-0.83,2.42,0.0,0.42,0.75,4.19,0.591,0.19,2.94,0.454,0.94,1.25
deepseek-v3,0.655,0.659,0.004,0.81,0.5,0.682,0.636,3.31,0.098,-0.69,2.56,0.237,0.56,0.75,2.88,0.451,-1.12,2.02,0.756,0.02,0.85,3.31,0.127,-0.69,2.22,0.046,0.22,1.08,4.15,0.459,0.15,2.86,0.5,0.86,1.29,3.03,0.046,-0.97,2.56,0.172,0.56,0.47,2.93,0.075,-1.07,2.31,0.238,0.31,0.62,3.0,0.08,-1.0,2.3,0.046,0.3,0.7,3.3,0.468,-0.7,2.9,0.801,0.9,0.4,3.3,0.046,-0.7,2.86,0.172,0.86,0.44,3.63,0.18,-0.37,3.09,0.246,1.09,0.54
deepseek-v4-flash,0.206,0.515,0.309,0.132,0.28,0.608,0.422,4.08,0.085,0.08,1.86,0.172,-0.14,2.22,2.5,0.65,-1.5,1.53,0.059,-0.47,0.97,4.05,0.046,0.05,1.72,0.046,-0.28,2.33,3.75,0.646,-0.25,2.76,0.352,0.76,1.0,4.17,0.085,0.17,1.8,0.046,-0.2,2.36,3.36,0.162,-0.64,1.99,0.219,-0.01,1.37,4.11,0.052,0.11,1.53,0.046,-0.47,2.58,3.59,0.742,-0.41,2.46,1.413,0.46,1.13,4.25,0.08,0.25,1.69,0.127,-0.31,2.56,4.24,0.024,0.24,2.41,0.296,0.41,1.83
deepseek-v4-pro,0.121,0.545,0.424,0.152,0.09,0.596,0.494,4.0,0.0,0.0,1.94,0.098,-0.06,2.06,3.82,0.062,-0.18,1.53,0.059,-0.47,2.29,3.61,0.098,-0.39,2.0,0.144,0.0,1.61,3.62,0.268,-0.38,2.76,0.352,0.76,0.86,3.72,0.191,-0.28,1.89,0.128,-0.11,1.83,2.2,0.075,-1.8,1.99,0.219,-0.01,0.21,3.94,0.098,-0.06,1.78,0.176,-0.22,2.17,3.79,0.596,-0.21,2.82,1.248,0.82,0.97,4.03,0.092,0.03,1.94,0.127,-0.06,2.08,4.41,0.008,0.41,2.41,0.296,0.41,2.0
ernie-4.5-turbo-128k,0.655,0.534,-0.121,0.848,0.462,0.594,0.474,3.2,0.211,-0.8,1.89,0.172,-0.11,1.31,3.26,1.077,-0.74,1.82,0.089,-0.18,1.44,3.22,0.092,-0.78,1.22,0.046,-0.78,2.0,3.95,0.367,-0.05,2.76,0.352,0.76,1.2,3.28,0.092,-0.72,2.11,0.172,0.11,1.16,3.34,0.142,-0.66,1.99,0.219,-0.01,1.35,3.09,0.144,-0.91,1.33,0.0,-0.67,1.76,3.3,0.665,-0.7,3.01,1.366,1.01,0.29,2.97,0.046,-1.03,1.36,0.052,-0.64,1.61,3.18,0.113,-0.82,2.41,0.296,0.41,0.77
ernie-4.5-turbo-32k,0.682,0.545,-0.137,0.85,0.514,0.62,0.47,3.2,0.211,-0.8,2.42,0.0,0.42,0.78,3.19,1.184,-0.81,1.82,0.089,-0.18,1.36,3.22,0.191,-0.78,1.19,0.127,-0.81,2.03,3.89,0.462,-0.11,2.76,0.352,0.76,1.13,3.33,0.0,-0.67,2.06,0.196,0.06,1.27,3.34,0.142,-0.66,1.99,0.219,-0.01,1.35,3.05,0.046,-0.95,1.28,0.046,-0.72,1.78,3.3,0.665,-0.7,2.99,1.36,0.99,0.31,2.95,0.046,-1.05,1.44,0.196,-0.56,1.5,3.18,0.113,-0.82,2.41,0.296,0.41,0.77
