模型名称,实验次数,BFI_外向性_均值,BFI_外向性_标准差,行为_外向性_均值,行为_外向性_标准差,差值_外向性,BFI_宜人性_均值,BFI_宜人性_标准差,行为_宜人性_均值,行为_宜人性_标准差,差值_宜人性,BFI_尽责性_均值,BFI_尽责性_标准差,行为_尽责性_均值,行为_尽责性_标准差,差值_尽责性,BFI_神经质_均值,BFI_神经质_标准差,行为_神经质_均值,行为_神经质_标准差,差值_神经质,BFI_开放性_均值,BFI_开放性_标准差,行为_开放性_均值,行为_开放性_标准差,差值_开放性,总MSE,总MSE_标准差,总RMSE
人类基线,94,2.86,0.787,2.72,0.581,0.14,3.59,0.57,3.5,0.47,0.09,3.19,0.68,3.01,0.649,0.18,2.82,0.782,2.89,0.522,-0.08,3.74,0.653,3.8,0.522,-0.07,0.4452,0.3007,0.6672
claude-sonnet-4-6,3,3.7,0.046,3.53,0.704,0.16,4.08,0.0,3.75,0.529,0.33,3.83,0.0,3.17,0.277,0.66,2.33,0.0,2.96,0.263,-0.63,4.25,0.0,4.42,0.0,-0.17,0.3174,0.2359,0.5634
deepseek-v3,3,3.17,0.085,2.71,1.197,0.45,3.47,0.046,4.23,0.243,-0.76,3.44,0.172,3.63,0.541,-0.18,2.64,0.098,2.95,0.204,-0.31,3.28,0.092,4.19,0.0,-0.91,0.5862,0.2092,0.7656
deepseek-v3.1-250821,3,3.56,0.127,3.67,0.658,-0.11,4.83,0.085,3.75,0.0,1.08,4.2,0.046,3.99,0.202,0.21,2.42,0.085,3.08,0.133,-0.67,4.95,0.046,3.67,0.45,1.28,0.7856,0.1172,0.8863
deepseek-v3.2,3,3.58,0.144,4.05,0.658,-0.47,4.83,0.085,3.75,0.0,1.08,4.17,0.085,3.99,0.202,0.18,2.42,0.085,3.01,0.133,-0.59,4.92,0.085,3.92,0.505,0.99,0.6429,0.1149,0.8018
deepseek-v4-flash,3,3.14,0.052,2.84,0.214,0.3,3.81,0.127,3.62,0.225,0.19,3.78,0.191,3.53,0.0,0.25,2.45,0.046,3.31,0.182,-0.86,3.64,0.052,3.9,0.277,-0.26,0.2351,0.0494,0.4849
deepseek-v4-pro,3,2.97,0.092,2.74,0.695,0.23,3.59,0.144,3.28,0.485,0.31,4.22,0.176,3.89,0.577,0.34,2.0,0.0,3.22,0.104,-1.22,3.64,0.172,4.42,0.0,-0.78,0.6264,0.0939,0.7915
gemini-3.1-pro-preview,3,3.39,0.052,2.97,0.508,0.42,4.53,0.092,4.1,0.6,0.43,4.75,0.0,3.76,0.098,0.99,1.72,0.092,2.95,0.341,-1.22,4.78,0.046,3.41,0.0,1.37,1.0595,0.3174,1.0293
glm-5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o,3,3.17,0.165,3.56,0.375,-0.4,3.86,0.098,4.51,0.243,-0.65,3.72,0.092,3.81,0.098,-0.09,2.67,0.0,2.94,0.135,-0.27,4.3,0.046,4.32,0.167,-0.02,0.1845,0.159,0.4295
minimax-m2.5,3,3.03,0.046,3.32,0.219,-0.29,4.64,0.296,3.95,0.2,0.69,4.5,0.144,3.9,0.301,0.59,1.39,0.339,2.96,0.206,-1.58,4.33,0.085,3.81,0.15,0.52,0.7661,0.1986,0.8753
qwen3-1.7b,3,3.08,0.0,2.85,0.046,0.23,3.0,0.0,3.67,0.133,-0.67,3.0,0.0,2.92,0.0,0.08,3.0,0.0,2.65,0.274,0.35,3.17,0.0,3.99,0.397,-0.82,0.2938,0.1779,0.542
qwen3-235b-a22b-thinking-2507,3,3.28,0.267,3.44,0.214,-0.16,4.53,0.046,3.29,0.499,1.24,4.5,0.17,4.22,0.0,0.28,1.44,0.196,3.34,0.0,-1.9,3.7,0.291,2.59,0.306,1.11,1.4145,0.3371,1.1893
qwen3-32b,3,3.67,0.0,2.43,0.214,1.24,4.33,0.0,4.64,0.254,-0.31,4.05,0.046,3.7,0.17,0.35,2.0,0.0,3.34,0.163,-1.34,3.36,0.098,3.96,0.146,-0.6,0.8084,0.093,0.8991
qwen3-8b,3,3.58,0.0,2.51,0.179,1.07,3.5,0.0,3.95,0.0,-0.45,3.5,0.0,3.87,0.0,-0.37,2.67,0.0,2.8,0.0,-0.13,3.33,0.0,4.42,0.0,-1.09,0.5407,0.0727,0.7353
