模型名称,实验次数,BFI_外向性_均值,BFI_外向性_标准差,行为_外向性_均值,行为_外向性_标准差,差值_外向性,BFI_宜人性_均值,BFI_宜人性_标准差,行为_宜人性_均值,行为_宜人性_标准差,差值_宜人性,BFI_尽责性_均值,BFI_尽责性_标准差,行为_尽责性_均值,行为_尽责性_标准差,差值_尽责性,BFI_神经质_均值,BFI_神经质_标准差,行为_神经质_均值,行为_神经质_标准差,差值_神经质,BFI_开放性_均值,BFI_开放性_标准差,行为_开放性_均值,行为_开放性_标准差,差值_开放性,总MSE,总MSE_标准差,总RMSE
人类基线,94,2.86,0.787,2.72,0.581,0.14,3.59,0.57,3.5,0.47,0.09,3.19,0.68,3.01,0.649,0.18,2.82,0.782,2.89,0.522,-0.08,3.74,0.653,3.8,0.522,-0.07,0.4452,0.3007,0.6672
claude-sonnet-4-6,3,3.58,0.0,3.19,0.0,0.39,4.08,0.0,3.79,0.0,0.29,3.92,0.0,2.61,0.305,1.31,2.22,0.092,2.93,0.0,-0.71,4.25,0.0,4.27,0.133,-0.02,0.5045,0.1623,0.7103
deepseek-v3,3,3.11,0.098,2.72,0.0,0.39,3.44,0.098,4.03,0.719,-0.59,3.39,0.052,3.18,0.34,0.21,2.67,0.085,2.99,0.159,-0.32,3.25,0.08,4.32,0.167,-1.07,0.4706,0.2978,0.686
deepseek-v3.1-250821,3,3.61,0.098,2.71,0.664,0.91,4.8,0.046,3.49,0.225,1.31,4.11,0.052,3.81,0.098,0.3,2.42,0.085,3.04,0.104,-0.62,4.92,0.085,4.34,0.133,0.57,0.7488,0.1629,0.8653
deepseek-v3.2,3,3.56,0.127,3.09,0.0,0.47,4.69,0.098,3.36,0.0,1.33,4.19,0.098,3.87,0.3,0.32,2.45,0.046,3.16,0.0,-0.71,4.89,0.098,4.42,0.0,0.47,0.5911,0.04,0.7688
deepseek-v4-flash,3,3.11,0.052,3.27,0.508,-0.16,3.94,0.196,3.41,0.313,0.53,3.86,0.207,3.1,0.214,0.76,2.39,0.296,3.58,0.21,-1.19,3.53,0.046,4.06,0.394,-0.54,0.6544,0.1761,0.8089
deepseek-v4-pro,3,3.09,0.144,2.97,0.214,0.12,3.58,0.25,3.62,0.225,-0.04,3.83,0.304,3.02,0.173,0.81,2.11,0.269,3.4,0.065,-1.29,3.69,0.196,4.25,0.3,-0.55,0.5744,0.1858,0.7579
gemini-3.1-pro-preview,3,3.42,0.0,1.91,0.664,1.51,4.53,0.092,3.54,0.358,0.98,4.75,0.0,3.54,0.277,1.21,1.89,0.191,3.56,0.0,-1.67,4.75,0.08,3.67,0.45,1.08,1.8341,0.2541,1.3543
glm-5,3,3.56,0.196,2.82,0.237,0.74,4.89,0.098,3.95,0.346,0.94,4.97,0.046,3.76,0.398,1.21,1.08,0.0,3.39,0.04,-2.31,4.89,0.052,4.19,0.0,0.7,1.7894,0.0955,1.3377
gpt-4o,3,3.19,0.127,2.72,0.0,0.47,3.72,0.046,3.49,0.225,0.23,3.72,0.092,3.06,0.179,0.67,2.55,0.046,3.33,0.0,-0.78,4.25,0.08,4.42,0.0,-0.17,0.2831,0.0982,0.5321
minimax-m2.5,3,3.33,0.5,3.32,0.219,0.01,4.58,0.223,2.51,0.0,2.07,4.45,0.046,2.92,0.0,1.53,1.36,0.052,2.95,0.064,-1.59,4.47,0.191,3.35,0.127,1.12,2.17,0.3154,1.4731
qwen3-1.7b,3,3.08,0.0,3.21,0.34,-0.13,3.0,0.0,2.96,0.346,0.04,3.0,0.0,2.82,0.179,0.18,3.0,0.0,2.49,0.052,0.51,3.17,0.0,3.8,0.283,-0.63,0.1894,0.0823,0.4352
qwen3-235b-a22b-thinking-2507,3,3.14,0.255,3.09,0.179,0.05,4.61,0.098,3.28,0.133,1.33,4.61,0.098,3.02,0.352,1.6,1.44,0.098,3.23,0.137,-1.79,3.61,0.098,3.72,0.242,-0.11,1.5412,0.2573,1.2414
qwen3-32b,3,3.56,0.098,2.68,0.0,0.88,4.33,0.0,3.75,0.0,0.58,4.05,0.046,3.53,0.0,0.52,2.03,0.046,3.56,0.0,-1.53,3.42,0.0,4.13,0.0,-0.71,0.8487,0.0469,0.9212
qwen3-8b,3,3.58,0.0,3.19,0.0,0.39,3.5,0.0,3.95,0.0,-0.45,3.5,0.0,3.25,0.139,0.25,2.67,0.0,2.97,0.144,-0.3,3.33,0.0,4.13,0.0,-0.8,0.2344,0.0267,0.4841
