模型名称,外向性_BFI,外向性_原实验行为,外向性_缓解实验行为,外向性_原实验差距,外向性_缓解实验差距,外向性_改进,宜人性_BFI,宜人性_原实验行为,宜人性_缓解实验行为,宜人性_原实验差距,宜人性_缓解实验差距,宜人性_改进,尽责性_BFI,尽责性_原实验行为,尽责性_缓解实验行为,尽责性_原实验差距,尽责性_缓解实验差距,尽责性_改进,神经质_BFI,神经质_原实验行为,神经质_缓解实验行为,神经质_原实验差距,神经质_缓解实验差距,神经质_改进,开放性_BFI,开放性_原实验行为,开放性_缓解实验行为,开放性_原实验差距,开放性_缓解实验差距,开放性_改进,原实验_MSE,缓解实验_MSE,MSE改进,改进百分比
claude-sonnet-4-6,3.58,3.19,3.94,0.39,0.36,0.03,4.08,3.79,4.35,0.29,0.27,0.02,3.92,2.92,3.33,1.0,0.59,0.41,2.17,2.93,2.66,0.76,0.49,0.27,4.25,4.19,4.42,0.06,0.17,-0.11,0.3635,0.1639,0.1996,54.9
deepseek-v3,3.17,2.72,4.06,0.45,0.89,-0.44,3.33,4.79,4.39,1.46,1.06,0.4,3.42,3.53,3.16,0.11,0.26,-0.15,2.58,2.93,3.17,0.35,0.59,-0.24,3.17,4.42,4.19,1.25,1.02,0.23,0.8062,0.6744,0.1319,16.36
deepseek-v3.1-250821,3.67,1.94,4.43,1.73,0.76,0.97,4.83,3.75,3.75,1.08,1.08,0.0,4.08,3.87,3.87,0.21,0.21,0.0,2.5,2.98,2.93,0.48,0.43,0.05,4.92,4.42,4.19,0.5,0.73,-0.23,0.9368,0.5012,0.4356,46.5
deepseek-v3.2,3.58,3.09,4.43,0.49,0.85,-0.36,4.75,3.36,3.75,1.39,1.0,0.39,4.08,4.22,4.22,0.14,0.14,0.0,2.42,3.16,2.93,0.74,0.51,0.23,4.83,4.42,4.42,0.41,0.41,0.0,0.5815,0.4341,0.1474,25.36
deepseek-v4-flash,3.08,3.56,3.09,0.48,0.01,0.47,3.83,3.75,3.75,0.08,0.08,0.0,4.08,3.22,3.53,0.86,0.55,0.31,2.08,3.65,3.34,1.57,1.26,0.31,3.5,4.42,3.64,0.92,0.14,0.78,0.8575,0.3832,0.4743,55.31
deepseek-v4-pro,2.92,2.72,3.19,0.2,0.27,-0.07,3.58,3.75,3.36,0.17,0.22,-0.05,3.58,2.92,3.22,0.66,0.36,0.3,1.92,3.4,3.16,1.48,1.24,0.24,3.58,4.42,4.42,0.84,0.84,0.0,0.6801,0.4988,0.1813,26.65
gemini-3.1-pro-preview,3.42,1.53,2.68,1.89,0.74,1.15,4.58,3.75,3.75,0.83,0.83,0.0,4.75,3.7,3.7,1.05,1.05,0.0,2.0,3.56,3.34,1.56,1.34,0.22,4.67,3.41,3.41,1.26,1.26,0.0,1.8769,1.1444,0.7325,39.03
glm-5,3.67,2.68,,0.99,,,5.0,3.75,,1.25,,,5.0,4.22,,0.78,,,1.08,3.34,,2.26,,,4.92,4.19,,0.73,,,,,,
gpt-4o,3.17,2.72,3.56,0.45,0.39,0.06,3.67,3.36,4.35,0.31,0.68,-0.37,3.83,3.16,3.87,0.67,0.04,0.63,2.58,3.33,2.79,0.75,0.21,0.54,4.33,4.42,4.13,0.09,0.2,-0.11,0.2636,0.14,0.1236,46.88
minimax-m2.5,3.33,3.19,3.57,0.14,0.24,-0.1,4.67,2.51,3.95,2.16,0.72,1.44,4.42,2.92,3.62,1.5,0.8,0.7,1.33,2.99,2.98,1.66,1.65,0.01,4.58,3.2,3.9,1.38,0.68,0.7,2.319,0.8802,1.4389,62.05
qwen3-1.7b,3.08,3.56,2.88,0.48,0.2,0.28,3.0,2.76,3.75,0.24,0.75,-0.51,3.0,2.92,2.92,0.08,0.08,0.0,3.0,2.55,2.96,0.45,0.04,0.41,3.17,4.13,3.64,0.96,0.47,0.49,0.2837,0.1663,0.1174,41.39
qwen3-235b-a22b-thinking-2507,3.42,3.19,3.56,0.23,0.14,0.09,4.67,3.36,3.75,1.31,0.92,0.39,4.67,2.61,4.22,2.06,0.45,1.61,1.33,3.08,3.34,1.75,2.01,-0.26,3.5,3.44,2.41,0.06,1.09,-1.03,1.8157,1.2593,0.5564,30.64
qwen3-32b,3.5,2.68,2.31,0.82,1.19,-0.37,4.33,3.75,4.79,0.58,0.46,0.12,4.08,3.53,3.87,0.55,0.21,0.34,2.08,3.56,3.4,1.48,1.32,0.16,3.42,4.13,4.13,0.71,0.71,0.0,0.8012,0.7837,0.0175,2.18
qwen3-8b,3.58,3.19,2.41,0.39,1.17,-0.78,3.5,3.95,3.95,0.45,0.45,0.0,3.5,3.33,3.87,0.17,0.37,-0.2,2.67,2.8,2.8,0.13,0.13,0.0,3.33,4.13,4.42,0.8,1.09,-0.29,0.2081,0.5827,-0.3746,-180.02
